pitcherstatid,Player,Tm,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
1,Austen Williams,WAS,10,0,0,0,9.2,10,6,8,6,5,0,1,0,0,0,5.59,1.66
2,Austin Adams,WAS,2,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,4
3,Austin Voth,WAS,4,2,0,0,12.1,12,9,11,6,3,1,1,0,0,0,6.57,1.46
4,Brandon Kintzler,WAS,45,0,0,0,42.2,40,17,31,13,2,1,2,2,3,15,3.59,1.24
5,Carlos Torres,WAS,10,0,0,0,9.2,9,7,9,3,3,0,0,0,0,0,6.52,1.24
6,Erick Fedde,WAS,11,11,0,0,50.1,55,31,46,22,8,2,4,0,0,0,5.54,1.53
7,Gio Gonzalez,WAS,27,27,0,0,145.2,153,74,126,70,15,7,11,0,0,0,4.57,1.53
8,Jefry Rodriguez,WAS,14,8,0,0,52,43,33,39,37,8,3,3,0,0,0,5.71,1.54
9,Jeremy Hellickson,WAS,19,19,0,0,91.1,78,35,65,20,11,5,3,0,0,0,3.45,1.07
10,Jimmy Cordero,WAS,22,0,0,0,19,23,12,12,12,2,1,2,0,1,0,5.68,1.84
11,Joe Ross,WAS,3,3,0,0,16,17,9,7,4,3,0,2,0,0,0,5.06,1.31
12,Justin Miller,WAS,51,0,0,0,52.1,42,21,60,17,10,7,1,2,1,11,3.61,1.13
13,Koda Glover,WAS,21,0,0,0,16.1,13,6,9,10,1,1,3,1,0,5,3.31,1.41
14,Kyle McGowin,WAS,5,1,0,0,7.2,6,5,8,5,2,0,0,0,0,0,5.87,1.43
15,Matt Grace,WAS,56,0,0,0,59.2,55,19,48,13,5,1,1,0,0,8,2.87,1.14
16,Max Scherzer,WAS,33,33,2,1,220.2,150,62,300,51,23,18,7,0,0,0,2.53,0.91
17,Ryan Madson,WAS,49,0,0,0,44.1,48,26,41,15,6,2,5,4,3,14,5.28,1.42
18,Sammy Solis,WAS,56,0,0,0,39.1,43,28,44,18,7,1,2,0,4,13,6.41,1.55
19,Sean Doolittle,WAS,43,0,0,0,45,21,8,60,6,3,3,3,25,1,1,1.6,0.6
20,Shawn Kelley,WAS,35,0,0,0,32.1,26,12,32,5,7,1,0,0,1,1,3.34,0.96
21,Stephen Strasburg,WAS,22,22,0,0,130,118,54,156,38,18,10,7,0,0,0,3.74,1.2
22,Tanner Roark,WAS,31,30,0,0,180.1,181,87,146,50,24,9,15,0,0,0,4.34,1.28
23,Tim Collins,WAS,38,0,0,0,22.2,23,11,21,12,5,0,0,0,0,4,4.37,1.54
